Año;Cód. Institución;Nombre Institución;Tipo Institución;Clasificación1;Clasificación2;Clasificación3;Clasificación4;Clasificación5;Clasificación6;Nombre de la Sede;Comuna donde se imparte la carrera o programa;Nombre Region;Orden Geográfico de la Región (Norte aSur);Cód. Carrera;Carrera Genérica;Nombre Programa;Mención o Especialidad;Horario;Tipo Programa;Area Conocimiento;idgenerocarrera;Tipo Carrera;IngresoDirecto;Año Inicio Actividades;Nombre del Campus;Duración (en semestres);Cód. Campus;Cód. Sede;Título;Grado Académico;Máximo Puntaje (promedio matemáticas y lenguaje);Promedio Puntaje (promedio matemáticas y lenguaje);Mínimo Puntaje (promedio matemáticas y lenguaje);Puntaje de corte (primer seleccionado);Puntaje de corte (promedio de la carrera);Puntaje de corte (último seleccionado);Máximo Puntaje NEM;Promedio Puntaje NEM;Mínimo Puntaje NEM;Máximo Puntaje Ranking;Promedio Puntaje Ranking;Mínimo Puntaje Ranking;Nº Alumnos Ingreso Via PSU o PDT;Nº Alumnos Ingreso Otra Via;Valor de matrícula;Valor de arancel;Valor del Título;Tipo Moneda;Vacantes;Matrícula primer año hombres;Matrícula primer año mujeres;Matrícula primer año extranjeros;Matrícula Primer Año;Matrícula total hombres;Matrícula total mujeres;Matrícula total extranjeros;Matrícula Total;Códgo SIES;Pregrado/Posgrado;Matrícula Primer Año No Binario;Matrícula Total No Binario
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;1995;Ingeniería Comercial;Ingeniería Comercial;Administración de Empresas;Diurno;Programa Regular;Administración y Comercio;1010005;Profesional con Licenciatura;Ingreso Directo;1977;Isla Teja;10;1007001001;1007001;Ingeniero Comercial;Licenciado en Administración;889;644;452;880;703;572;965;771;488;1000;788;488;118;14;254.000;5.588.000;240.000;Pesos     ;100;66;66;1;132;273;227;6;500;I90S1C35J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;11868;Ingeniería Ambiental;Ingeniería en Conservación de Recursos Naturales;;Diurno;Programa Regular;Tecnología;1003009;Profesional con Licenciatura;Ingreso Directo;2006;Isla Teja;10;1007001001;1007001;Ingeniero en Conservación de Recursos Naturales;Bachiller en Ciencias Forestales y Recursos Naturales;;;;;;;;;;;;;;;;;;Pesos     ;;0;0;0;0;1;1;0;2;I90S1C142J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;31731;Ingeniería Ambiental;Ingeniería en Conservación de Recursos Naturales - Ingeniería Forestal;;Diurno;Programa Regular;Tecnología;1003009;Profesional con Licenciatura;Ingreso Directo;2014;Isla Teja;10;1007001001;1007001;Ingeniería en Conservación de Recursos Naturales o  Ingeniería Forestal;Licenciado en Ciencias Forestales o Licenciado en Conservación;863;650;490;848;652;456;951;707;418;1000;724;418;34;14;254.000;5.360.000;240.000;Pesos     ;60;26;22;0;48;150;138;1;288;I90S1C534J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;1999;Ingeniería Civil Acústica;Ingeniería Civil Acústica;;Diurno;Programa Regular;Tecnología;1008018;Profesional con Licenciatura;Ingreso Directo;2001;Miraflores;12;1007001002;1007001;Ingeniero Civil Acústico;Licenciado en Ciencias de la Ingeniería;793;672;524;784;679;572;937;734;425;948;747;447;9;;254.000;5.588.000;240.000;Pesos     ;20;8;1;0;9;92;11;0;103;I90S1C114J1V2;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;11867;Ingeniería Civil Electrónica y similares;Ingeniería Civil Electrónica;;Diurno;Programa Regular;Tecnología;1008022;Profesional con Licenciatura;Ingreso Directo;2006;Miraflores;11;1007001002;1007001;Ingeniero Civil Electrónico;Bachiller en Ciencias de Ingeniería, Licenciado en Ciencias de la Ingeniería;888;706;506;880;722;519;979;788;551;1000;806;551;26;3;254.000;5.588.000;240.000;Pesos     ;52;22;7;0;29;153;20;0;173;I90S1C141J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;2000;Ingeniería Civil en Computación y/o Informática;Ingeniería Civil Informática;;Diurno;Programa Regular;Tecnología;1008005;Profesional con Licenciatura;Ingreso Directo;1982;Miraflores;11;1007001002;1007001;Ingeniero Civil Informático;Licenciado en Ciencias de la Ingeniería M/Informática;902;684;495;939;685;470;979;728;456;1000;746;456;84;8;254.000;5.588.000;240.000;Pesos     ;85;76;16;2;92;358;49;5;407;I90S1C33J1V2;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;1998;Ingeniería Civil en Obras Civiles y similares;Ingeniería Civil en Obras Civiles;;Diurno;Programa Regular;Tecnología;1008003;Profesional con Licenciatura;Ingreso Directo;1994;Miraflores;11;1007001002;1007001;Ingeniero Civil en Obras Civiles;Licenciado en Ciencias de la Ingeniería M/Obras Civiles;928;672;511;890;696;520;951;771;456;1000;791;466;59;12;254.000;5.588.000;240.000;Pesos     ;70;46;25;1;71;268;104;3;372;I90S1C34J1V2;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;27120;Ingeniería Civil Industrial;Ingeniería Civil Industrial;;Diurno;Programa Regular;Tecnología;1008004;Profesional con Licenciatura;Ingreso Directo;2013;Miraflores;11;1007001002;1007001;Ingeniero Civil Industrial;Licenciado en Ciencias de la Ingeniería;934;755;537;920;776;675;970;845;671;1000;868;671;84;11;254.000;5.588.000;240.000;Pesos     ;70;68;27;0;95;316;136;2;452;I90S1C126J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;13979;Ingeniería Civil Mecánica;Ingeniería Civil Mecánica;;Diurno;Programa Regular;Tecnología;1008006;Profesional con Licenciatura;Ingreso Directo;2007;Miraflores;11;1007001002;1007001;Ingeniero Civil Mecánico;Licenciado en Ciencias de la Ingeniería;851;672;490;880;677;526;965;702;306;1000;713;306;44;7;254.000;5.588.000;240.000;Pesos     ;50;45;6;2;51;201;21;4;222;I90S1C147J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;54491;Ingeniería Civil Plan Común;Ingenieria Plan Común;;Diurno;Programa Regular;Tecnología;1008032;Plan Común o Ciclo Básico;Ingreso Directo;2025;Miraflores;4;1007001002;1007001;;Bachiller en Ciencias de la Ingenieria;861;676;508;900;691;543;956;747;536;1000;761;536;30;16;254.000;5.588.000;240.000;Pesos     ;42;33;13;0;46;33;13;0;46;I90S1C723J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;1993;Ingeniería en Alimentos y similares;Ingeniería en Alimentos;;Diurno;Programa Regular;Tecnología;1001003;Profesional con Licenciatura;Ingreso Directo;1988;Isla Teja;10;1007001001;1007001;Ingeniero en Alimentos;Licenciado en Ciencias de los Alimentos;;;;;;;;;;;;;;;;;;Pesos     ;;0;0;0;0;28;27;0;55;I90S1C44J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;2014;Ingeniería en Construcción y similares;Ingeniería en Construcción;;Diurno;Programa Regular;Tecnología;1008009;Profesional con Licenciatura;Ingreso Directo;1998;Miraflores;10;1007001002;1007001;Ingeniero Constructor;Licenciado en Ciencias de la Construcción;754;590;502;738;631;468;937;727;447;1000;746;447;23;10;254.000;5.270.000;240.000;Pesos     ;67;24;9;0;33;156;54;1;210;I90S1C46J1V1;Pregrado;0;0
2025;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;2011;Ingeniería en Transporte Marítimo, Aéreo y similares;Ingeniería Naval;;Diurno;Programa Regular;Tecnología;1008052;Profesional con Licenciatura;Ingreso Directo;1990;Miraflores;10;1007001002;1007001;Ingeniero Naval;Licenciado en Ciencias de la Ingeniería;901;663;439;926;693;491;970;771;441;1000;787;443;64;7;254.000;5.270.000;240.000;Pesos     ;55;53;18;0;71;180;67;3;247;I90S1C50J1V1;Pregrado;0;0
2024;1007;U. AUSTRAL DE CHILE;Univ.;(a) Universidades CRUCH;(b) Universidades Privadas CRUCH;(a) Acreditada;(a) Autónoma;(a) Adscritas a Gratuidad;(a) Subsistema Universitario;Valdivia;Valdivia;Región de los Ríos;13;1995;Ingeniería Comercial;Ingeniería Comercial;Administración de Empresas;Diurno;Programa Regular;Administración y Comercio;1010005;Profesional con Licenciatura;Ingreso Directo;1977;Isla Teja;10;1007001001;1007001;Ingeniero Comercial;Licenciado en Administración;895;666;494;862;727;630;979;799;616;1000;824;616;110;11;237.000;5.247.000;225.000;Pesos     ;97;70;51;3;121;278;209;8;487;I90S1C35J1V1;Pregrado;0;0
