Institución;Carrera;Retención de 1er año;Empleabilidad al 1er año;Empleabilidad al 2º Año;Duración Real (semestres);Ingreso promedio al 4° año
UNIVERSIDAD FINIS TERRAE;Ingeniería Civil Industrial;88,6%;82,8%;92,5%;134;s/i
UNIVERSIDAD FINIS TERRAE;Ingeniería Comercial;75,1%;67,3%;84,2%;116;De $1 millón 900 mil a $2 millones
UNIVERSIDAD FINIS TERRAE;Ingeniería en Información y Control de Gestión;81,0%;75,4%;90,0%;100;s/i
UNIVERSIDAD DIEGO PORTALES;Ingeniería en Administración de Empresas;72,2%;83,2%;83,5%;116;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD DIEGO PORTALES;Ingeniería Civil en Informática y Telecomunicaciones;91,3%;92,6%;96,4%;136;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DIEGO PORTALES;Ingeniería Civil en Obras Civiles;83,7%;83,8%;87,5%;144;De $1 millón 900 mil a $2 millones
UNIVERSIDAD DIEGO PORTALES;Ingeniería Civil Industrial;94,2%;89,7%;94,0%;135;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD DIEGO PORTALES;Ingeniería Comercial;90,2%;81,4%;88,5%;126;De $2 millones a $2 millones 100 mil
UNIVERSIDAD DIEGO PORTALES;Ingeniería en Informática y Gestión;82,8%;90,0%;s/i;s/i;s/i
UNIVERSIDAD DIEGO PORTALES;Ingeniería en Control de Gestión;76,9%;88,4%;94,6%;119;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD DIEGO PORTALES;Ingeniería en Industria y Logística;s/i;88,9%;85,7%;s/i;s/i
UNIVERSIDAD CENTRAL DE CHILE;Ingeniería de Ejecución en Administración de Negocios, de Empresas y de Agronegocios;87,7%;69,0%;82,4%;s/i;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD CENTRAL DE CHILE;Ingeniería Civil Industrial;84,5%;87,3%;90,0%;133;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD CENTRAL DE CHILE;Ingeniería Comercial;85,2%;83,1%;86,9%;131;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD CENTRAL DE CHILE;Ingeniería en Construcción;s/i;78,6%;86,5%;s/i;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD MAYOR;Ingeniería en Administración e Ingeniería en Administración de Empresas;76,5%;78,5%;80,4%;105;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD MAYOR;Ingeniería Civil en Computación e Informática;95,7%;83,3%;80,5%;s/i;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD MAYOR;Ingeniería Civil Industrial;92,3%;84,0%;89,5%;146;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD MAYOR;Ingeniería Comercial;82,9%;74,9%;82,3%;121;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD MAYOR;Ingeniería en Construcción;88,9%;62,2%;s/i;161;s/i
UNIVERSIDAD MAYOR;Ingeniería en Prevención de Riesgo;s/i;97,6%;s/i;s/i;s/i
UNIVERSIDAD SANTO TOMAS;Ingeniería Civil Industrial;86,4%;88,1%;92,3%;s/i;De $1 millón 900 mil a $2 millones
UNIVERSIDAD SANTO TOMAS;Ingeniería Comercial;83,2%;71,3%;80,2%;128;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD SANTO TOMAS;Ingeniería en Control de Gestión;76,7%;93,8%;87,8%;s/i;s/i
UNIVERSIDAD DE LAS AMERICAS;Ingeniería de Ejecución en Administración de Empresas;44,8%;70,0%;75,8%;85;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD DE LAS AMERICAS;Ingeniería Civil Industrial;93,6%;90,7%;95,1%;s/i;s/i
UNIVERSIDAD DE LAS AMERICAS;Ingeniería Comercial;76,2%;71,3%;85,2%;113;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DE LAS AMERICAS;Ingeniería de Ejecución en Informática;76,8%;97,4%;86,1%;106;s/i
UNIVERSIDAD DE LAS AMERICAS;Ingeniería en Minas;s/i;70,0%;67,7%;120;De $1 millón 700 mil a $1 millón 800 mil
UNIVERSIDAD DE LAS AMERICAS;Ingeniería de Ejecución Industrial;42,1%;89,4%;s/i;s/i;s/i
UNIVERSIDAD ANDRES BELLO;Ingeniería en Administración de Empresas;84,0%;74,6%;81,9%;93;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería en Turismo y Hotelería, Ingeniería en Administración Hotelera Internacional y Administración en Ecoturismo;77,2%;46,0%;55,3%;104;De $1 millón a $1 millón 100 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería Civil Informática;84,3%;80,5%;90,1%;123;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD ANDRES BELLO;Ingeniería Civil en Minas;83,3%;62,7%;82,0%;141;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería Civil Industrial;87,5%;83,4%;91,5%;117;De $2 millones a $2 millones 100 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería Civil en Metalurgia;s/i;72,5%;80,2%;s/i;De $2 millones 100 mil a $2 millones 200 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería Civil;84,4%;75,4%;85,5%;152;De $2 millones a $2 millones 100 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería Comercial;78,4%;74,7%;84,1%;121;De $1 millón 900 mil a $2 millones
UNIVERSIDAD ANDRES BELLO;Ingeniería en Automatización y Robótica;87,7%;75,2%;81,4%;105;s/i
UNIVERSIDAD ANDRES BELLO;Ingeniería en Biotecnología;70,2%;56,7%;62,0%;120;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería en Computación e Informática y de Gestión Informática;81,9%;87,0%;89,4%;107;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería en Construcción;77,1%;68,3%;80,5%;123;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería en Información y Control de Gestión;s/i;100,0%;s/i;s/i;s/i
UNIVERSIDAD ANDRES BELLO;Ingeniería Ambiental;s/i;67,9%;85,9%;129;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD ANDRES BELLO;Ingeniería Industrial;62,2%;88,2%;89,6%;106;De $1 millón 900 mil a $2 millones
UNIVERSIDAD ANDRES BELLO;Ingeniero en Marina Mercante y Transporte Marítimo;86,6%;78,3%;90,1%;124;De $2 millones 400 mil a $2 millones 500 mil
UNIVERSIDAD DE VIÑA DEL MAR;Ingeniería Comercial;73,3%;65,7%;76,9%;118;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD DE VIÑA DEL MAR;Ingeniería en Gestión de Negocios Internacionales;s/i;57,1%;60,5%;s/i;s/i
UNIVERSIDAD ADOLFO IBAÑEZ;Ingeniería Civil Informática;s/i;84,7%;94,9%;s/i;s/i
UNIVERSIDAD ADOLFO IBAÑEZ;Ingeniería Civil en Energía y Medio Ambiente;s/i;79,7%;82,8%;s/i;s/i
UNIVERSIDAD ADOLFO IBAÑEZ;Ingeniería Civil Industrial;89,0%;90,0%;94,4%;s/i;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD ADOLFO IBAÑEZ;Ingeniería Civil;85,8%;88,3%;87,4%;s/i;De $2 millones a $2 millones 100 mil
UNIVERSIDAD ADOLFO IBAÑEZ;Ingeniería Comercial;91,3%;88,4%;92,4%;122;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION - UNIACC;Ingeniería Comercial;43,2%;89,7%;92,3%;122;s/i
UNIVERSIDAD AUTONOMA DE CHILE;Ingeniería en Administración;94,3%;69,4%;75,4%;s/i;s/i
UNIVERSIDAD AUTONOMA DE CHILE;Contador Público Auditor, y Auditoría e Ingeniería en Control de Gestión;s/i;76,5%;86,0%;108;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD AUTONOMA DE CHILE;Ingeniería Civil Industrial;81,9%;71,8%;78,2%;129;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD AUTONOMA DE CHILE;Ingeniería Comercial;83,6%;70,3%;79,8%;122;De $1 millón 400 mil a $1 millón 500 mil
UNIVERSIDAD AUTONOMA DE CHILE;Ingeniería en Construcción;83,9%;71,5%;75,0%;145;De $1 millón 300 mil a $1 millón 400 mil
UNIVERSIDAD DE LOS ANDES;Ingeniería Civil Eléctrica;s/i;90,4%;98,2%;s/i;s/i
UNIVERSIDAD DE LOS ANDES;Ingeniería Civil en Obras Civiles;s/i;88,8%;91,6%;s/i;De $2 millones 300 mil a $2 millones 400 mil
UNIVERSIDAD DE LOS ANDES;Ingeniería Civil Industrial;s/i;94,2%;97,0%;s/i;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD DE LOS ANDES;Ingeniería Comercial;89,0%;82,7%;95,5%;116;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD ADVENTISTA DE CHILE;Ingeniería Comercial;89,3%;59,5%;s/i;s/i;s/i
UNIVERSIDAD SAN SEBASTIAN;Ingeniería en Administración de Empresas;s/i;83,9%;82,9%;s/i;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD SAN SEBASTIAN;Ingeniería en Expediciones y Ecoturismo;88,6%;44,0%;51,9%;103;s/i
UNIVERSIDAD SAN SEBASTIAN;Ingeniería Civil Informática;76,7%;77,8%;86,5%;s/i;s/i
UNIVERSIDAD SAN SEBASTIAN;Ingeniería Civil en Minas;75,0%;69,2%;71,9%;121;s/i
UNIVERSIDAD SAN SEBASTIAN;Ingeniería Civil Industrial;84,9%;82,1%;84,5%;125;De $1 millón 800 mil a $1 millón 900 mil
UNIVERSIDAD SAN SEBASTIAN;Ingeniería Civil;82,0%;76,5%;81,2%;148;De $1 millón 900 mil a $2 millones
UNIVERSIDAD SAN SEBASTIAN;Ingeniería Comercial;77,6%;70,0%;80,7%;124;De $1 millón 500 mil a $1 millón 600 mil
UNIVERSIDAD SAN SEBASTIAN;Ingeniería en Energía y Sustentabilidad Ambiental;s/i;70,7%;s/i;122;s/i
UNIVERSIDAD SAN SEBASTIAN;Ingeniería Industrial;s/i;87,6%;89,4%;s/i;De $1 millón 900 mil a $2 millones
UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ;Ingeniería Comercial;69,5%;74,4%;82,3%;128;De $1 millón 600 mil a $1 millón 700 mil
UNIVERSIDAD DEL DESARROLLO;Ingeniería en Ejecución en Administración;s/i;63,6%;76,5%;s/i;s/i
UNIVERSIDAD DEL DESARROLLO;Ingeniería Civil en Obras Civiles;s/i;85,1%;92,7%;s/i;s/i
UNIVERSIDAD DEL DESARROLLO;Ingeniería Civil Industrial;94,9%;89,7%;93,2%;129;De $2 millones 300 mil a $2 millones 400 mil
UNIVERSIDAD DEL DESARROLLO;Ingeniería Comercial;90,3%;86,4%;89,8%;123;De $2 millones 200 mil a $2 millones 300 mil
UNIVERSIDAD DE ACONCAGUA;Ingeniería en Minas;s/i;81,0%;77,8%;s/i;Desde $2 millones 500 mil a $3 millones
UNIVERSIDAD BERNARDO O´HIGGINS;Ingeniería Comercial;80,6%;75,3%;83,1%;s/i;s/i
UNIVERSIDAD BERNARDO O´HIGGINS;Ingeniería en Informática;82,7%;58,7%;75,9%;89;s/i
